Type,Name,Description,Sale price,Regular price,Categories,External URL,Meta: online_shop_sidebar_layout,Meta: onesignal_meta_box_present,Meta: onesignal_send_notification
simple,2 States - Chetan Bhagat,"Author: Chetan Bhagat

Condition : Pre-owned",80,150,Novels,,default-sidebar,,
simple,World Best Boy Friend - Durjoy  Datta,"Author: Durjoy Dutta

Condition : Pre-Owned",80,175,Novels,,default-sidebar,,
simple,One Night At The Call Center - Chetan Bhagat,,80,199,Novels,,default-sidebar,,
simple,CAT Quantitative Aptitude,"CAT Quantitative Aptitude

author - Arun Sharma

publihser - Tata Mcgraw Hill",525,875,Competitive Exams,,default-sidebar,1,
simple,family matters - Rohinton Mistry,"Author - Rohinton Mistry

Condition - Pre-owned",130,600,Novels,,default-sidebar,1,
simple,It started with a friend request : Sudeep nagarkar,"Author - Sudeep Nagarkar

Condition - Pre-owned",85,199,Novels,,default-sidebar,1,
simple,The girl of my dreams - Durjoy Datta,"Author - Durjoy Datta

Condition - Pre-owned",85,199,Novels,,default-sidebar,1,
simple,Guide - RK Narayana,,80,135,Novels,,default-sidebar,,
simple,Half girlfriend - Chetan Bhagat,"Author - Chetan bhagat

Condition - Pre-owned",80,199,Novels,,default-sidebar,1,
simple,Our Impossible love - Durjoy Datta,"Author - Durjoy Datta

Condition - Pre-owned",85,199,Novels,,default-sidebar,1,
simple,Inferno - Dan Brown,"Author - Dan brown

Condition - Pre-owned",200,399,Novels,,default-sidebar,1,
simple,The scion of Ishwaku - Amish tripathi,"Author - Amish tripathi

Condition - Pre-owned",150,399,Novels,,default-sidebar,1,
simple,Itoohadalovestory,,,100,Novels,,default-sidebar,,
simple,Till the Last breath - Durjoy Datta,"Author -  Durjoy Dutta

Condition - Pre-owned",85,199,Novels,,default-sidebar,1,
simple,Longjourney,,,100,Novels,,default-sidebar,,
simple,The Lost symbol - Dan Brown,"Author -  Dan Brown

Condition - Pre-owned",200,399,Novels,,default-sidebar,1,
simple,This Love that feels right - Ravinder Singh,"Author - Ravinder Singh

Condition - Pre-owned",85,199,Novels,,default-sidebar,1,
simple,CAT Logical Reasoning,"CAT Logical Reasoning

author - Arun Sharma

publihser - Tata Mcgraw Hill",375,625,Competitive Exams,,default-sidebar,1,
simple,Can Love happen twice - Ravinder Singh,"Author - Ravinder Singh

Condition - Pre-owned",85,199,Novels,,default-sidebar,1,
simple,CAT Verbal Ability & Reading Comprehension,"CAT Verbal Ability &amp; Reading Comprehension

author - Arun Sharma

publihser - Tata Mcgraw Hill",525,875,Competitive Exams,,default-sidebar,1,
simple,The three mistakes of my life - Chetan Bhagat,"Author -  Chetan Bhagat

Condition - Pre-owned",80,199,Novels,,default-sidebar,1,
simple,CAT Data Interpretation,"CAT Data Interpretation

author - Arun Sharma

publihser - Tata Mcgraw Hill",477,795,Competitive Exams,,default-sidebar,1,
